packet_count,avg_packet_size,min_packet_size,max_packet_size,size_range,avg_inter_arrival_sec,duration_sec,bytes_per_sec,traffic_type,synthetic
1560,1422.54,1399.45,1459.37,59.92,0.001606,15.448,143654.57,bulk_transfer,True
2160,1111.0,1071.27,1196.8,125.52,0.029312,17.465,137403.87,video_streaming,True
85,122.58,116.84,144.02,27.18,0.026663,12.485,834.51,dns_like_burst,True
47,95.4,76.74,103.39,26.65,0.108271,3.937,1138.83,dns_like_burst,True
39,76.16,60.64,84.66,24.02,0.170244,12.896,230.31,dns_like_burst,True
48,72.8,39.62,88.68,49.06,0.712762,11.437,305.55,interactive_ssh,True
504,1374.93,1373.16,1392.79,19.62,0.000975,28.667,24172.56,bulk_transfer,True
92,166.1,134.76,182.89,48.13,1.094104,59.622,256.3,interactive_ssh,True
369,498.68,485.8,623.65,137.85,0.527467,29.825,6169.75,web_browsing,True
1393,1444.77,1431.43,1451.79,20.37,0.002941,12.329,163236.59,bulk_transfer,True
82,139.56,135.72,144.01,8.3,0.088169,12.239,935.03,dns_like_burst,True
117,344.66,219.15,382.83,163.68,0.387466,28.203,1429.84,web_browsing,True
135,148.03,143.11,159.88,16.77,1.661035,45.678,437.49,interactive_ssh,True
462,1412.65,1396.81,1415.49,18.68,0.00241,14.972,43590.21,bulk_transfer,True
29,71.78,56.65,79.02,22.37,0.162787,5.389,386.29,dns_like_burst,True
283,462.59,213.84,502.09,288.25,0.144474,11.213,11675.27,web_browsing,True
1897,1419.21,1409.09,1420.25,11.15,0.00288,28.088,95851.23,bulk_transfer,True
161,166.27,154.02,169.87,15.85,0.95061,10.311,2596.36,interactive_ssh,True
1922,1213.75,1201.94,1248.28,46.34,0.012653,28.567,81661.23,video_streaming,True
105,95.09,20,135.26,115.26,1.554899,51.37,194.35,interactive_ssh,True
1121,1242.11,1216.1,1318.14,102.03,0.028185,57.069,24398.8,video_streaming,True
2610,1175.2,1126.63,1207.31,80.69,0.036282,53.715,57102.61,video_streaming,True
96,105.91,90.6,110.11,19.52,0.156631,7.003,1451.96,dns_like_burst,True
